ID,LvlSpr,02-May,01-May,30-Apr,29-Apr,28-Apr,27-Apr,26-Apr,25-Apr,24-Apr,23-Apr,22-Apr,21-Apr,20-Apr,19-Apr,18-Apr,17-Apr,16-Apr,15-Apr,14-Apr,13-Apr,12-Apr,11-Apr,10-Apr,09-Apr,08-Apr,07-Apr,06-Apr,05-Apr,04-Apr,03-Apr,02-Apr,01-Apr,31-Mar,30-Mar,29-Mar,28-Mar,27-Mar,26-Mar,25-Mar,24-Mar,23-Mar,22-Mar,21-Mar,20-Mar,19-Mar,18-Mar,17-Mar,16-Mar,15-Mar,14-Mar,13-Mar,12-Mar,11-Mar,10-Mar,09-Mar,08-Mar,07-Mar,06-Mar,05-Mar,04-Mar,03-Mar,02-Mar,01-Mar,28-Feb,27-Feb,26-Feb,25-Feb,24-Feb,23-Feb,22-Feb,21-Feb,20-Feb,19-Feb,18-Feb,17-Feb,16-Feb,15-Feb,14-Feb,13-Feb,12-Feb,11-Feb,10-Feb,09-Feb,08-Feb,07-Feb
18,Spr,4,8,3,7,10,4,5,4,11,9,10,12,3,10,5,4,5,10,9,6,6,7,14,10,13,10,4,3,5,5,8,10,13,11,3,11,9,10,6,5,6,6,9,4,7,6,6,5,5,3,11,10,5,10,12,4,6,8,13,5,8,11,7,5,7,7,9,4,5,17,15,7,,,,,,,,,,,,,
19,Lvl,13,11,11,11,11,11,12,11,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Spr,5,3,4,7,3,3,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Lvl,21,21,21,21,22,21,22,21,21,21,22,22,21,22,21,22,22,24,22,22,23,23,23,23,23,23,23,23,23,22,23,23,25,22,22,22,24,23,23,22,22,21,20,20,20,21,23,20,20,23,22,22,23,23,26,26,26,26,30,22,22,21,19,21,24,24,25,27,26,27,27,27,27,28,27,27,26,26,26,,,,,,
20,Spr,7,6,6,14,10,8,11,7,10,8,12,12,8,8,7,7,8,14,9,10,7,7,7,8,11,9,7,10,7,8,9,10,8,12,6,7,11,7,15,10,7,7,7,11,7,11,9,9,8,8,10,6,15,11,8,7,10,7,8,14,17,14,6,8,4,4,6,4,4,4,4,4,4,5,5,4,3,3,4,,,,,,
21,Lvl,24,11,11,11,10,11,20,17,22,21,13,10,11,11,11,22,12,10,10,11,18,11,12,10,11,11,11,12,11,11,12,10,26,13,10,12,13,12,11,11,12,15,10,10,11,12,12,11,11,10,11,13,11,28,10,11,10,20,12,11,11,18,11,10,10,10,11,11,11,10,11,11,11,13,12,23,,,,,,,,,
21,Spr,16,11,3,4,4,4,16,12,16,14,10,3,3,3,12,16,8,9,15,14,15,14,14,3,3,4,4,13,4,5,14,7,13,13,3,10,11,6,13,10,11,14,4,4,10,10,15,15,11,9,10,12,3,9,10,5,3,13,10,6,12,14,9,4,3,3,7,11,6,6,7,8,6,9,17,12,,,,,,,,,
22,Lvl,11,11,11,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Spr,3,3,3,3,3,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Lvl,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Spr,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Lvl,14,14,14,15,13,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Spr,5,24,3,2,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Lvl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Spr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Lvl,11,11,11,11,11,11,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
